id	slice	input	target	ok (y/n)	note
tatoeba-2647739-9961440-fill_zh_en	fill_zh_en	You [处于] danger.	were in		
tatoeba-71534-7774815-naturalize_zh	naturalize_zh	不管你选择哪一条路，你能够按时到达那里。	不管你选哪条路，你都能按时到那里。		
tatoeba-260827-2437290-naturalize_en	naturalize_en	I saw them walking arm and arm.	I saw them walking arm in arm.		
tatoeba-2375608-4456368-fill_zh_en	fill_zh_en	[你能] translate this sentence?	Could you		
tatoeba-6357249-13736362-naturalize_en	naturalize_en	I want laugh.	I feel like laughing.		
tatoeba-324437-848842-fill_zh_en	fill_zh_en	I don't [相信] ghosts exist.	believe that		
tatoeba-4755347-333559-naturalize_zh	naturalize_zh	如果你不想死得早，就戒烟。	如果你想活得久一点就戒烟。		
tatoeba-2111696-9959595-fill_zh_en	fill_zh_en	I'm [改过自新].	reformed		
tatoeba-33609-334595-naturalize_en	naturalize_en	You will visit other countries?	Are you going to visit any other countries?		
tatoeba-17188-398887-fill_en_zh	fill_en_zh	你想[as you like]。	怎么做就怎么做		
tatoeba-2833342-9962881-fill_zh_en	fill_zh_en	You're a [奇怪] girl.	strange		
tatoeba-710695-710694-fill_en_zh	fill_en_zh	你会[get used to]的。	习惯		
tatoeba-270038-1839150-naturalize_zh	naturalize_zh	人不能永远活着不死。	人无法长生不死。		
tatoeba-1526474-6094861-fill_en_zh	fill_en_zh	我每天都[bathe]。	洗澡		
tatoeba-71028-335126-naturalize_zh	naturalize_zh	我给了你一本的书。	我给了你一本书。		
tatoeba-3010201-9012152-naturalize_en	naturalize_en	I have headache for three days and I can't solve it.	I've had a headache for three days and I can't get rid of it.		
tatoeba-54371-2393341-naturalize_en	naturalize_en	You decide good to order now?	Are you ready to order now?		
tatoeba-254230-333946-unchanged_zh	unchanged_zh	我想看这部电影。	UNCHANGED		
tatoeba-5250872-5632405-unchanged_en	unchanged_en	I guess it was our bad luck.	UNCHANGED		
tatoeba-398493-398497-unchanged_zh	unchanged_zh	我刚才起床了。	UNCHANGED		
tatoeba-3820525-5554539-naturalize_zh	naturalize_zh	你在学习不应该吗？	你不应该在学习吗？		
tatoeba-69413-529039-fill_en_zh	fill_en_zh	你今天下午[Would you like]去动物园？	想不想		
tatoeba-953131-8517167-naturalize_zh	naturalize_zh	你肯定你要去那里吗？	你确定你要去那儿吗？		
tatoeba-5176525-5702561-fill_en_zh	fill_en_zh	它[not]猫。它是狗。	不是		
tatoeba-2007413-5585226-fill_zh_en	fill_zh_en	[希望] you don't need it.	Let's hope		
tatoeba-308642-332806-naturalize_zh	naturalize_zh	我有欠她10美元。	我欠她10美元。		
tatoeba-818058-818148-naturalize_en	naturalize_en	I not trust him anymore.	I don't trust him any more.		
tatoeba-8215768-13046617-naturalize_zh	naturalize_zh	我们没有足够的时间来完成我们做的工作。	我们没有足够的时间来完成手头的工作。		
tatoeba-6646072-5100259-fill_zh_en	fill_zh_en	[就迟到了] if we don't hurry.	We'll be late		
tatoeba-2401-1415728-fill_zh_en	fill_zh_en	I [以为] it was true.	thought		
tatoeba-254853-332425-fill_en_zh	fill_en_zh	明天下午[by]我会把它完成。	之前		
tatoeba-55716-10275150-unchanged_zh	unchanged_zh	这部电影是我迄今为止看过的最好的一部。	UNCHANGED		
tatoeba-6873446-10513371-naturalize_en	naturalize_en	You can't be a donate blood person.	You can't be a blood donor.		
tatoeba-435205-332911-unchanged_en	unchanged_en	I hope you have a good trip.	UNCHANGED		
tatoeba-704448-476675-naturalize_zh	naturalize_zh	我们都认为您的想法是不可以行的。	我们都认为您的想法是行不通的。		
tatoeba-50372-4267327-naturalize_en	naturalize_en	I wish I buy a ticket for the concert.	I wish I had bought a ticket for the concert.		
tatoeba-25831-847825-fill_en_zh	fill_en_zh	我看见远处[saw a]小屋。	有一间		
tatoeba-2109-2395001-fill_en_zh	fill_en_zh	我不想[fail my exams]。	挂科		
tatoeba-2336004-2004700-fill_zh_en	fill_zh_en	Suddenly, I heard [喊叫].	shouting		
tatoeba-809657-810055-unchanged_en	unchanged_en	I know that some people value my work.	UNCHANGED		
tatoeba-4471279-4517860-fill_zh_en	fill_zh_en	I don't want to play [再].	anymore		
tatoeba-1121215-5763048-fill_zh_en	fill_zh_en	You remember it [比我记得好].	better than I do		
tatoeba-2380198-8171836-unchanged_en	unchanged_en	I lost three kilograms.	UNCHANGED		
tatoeba-2045819-3289554-fill_zh_en	fill_zh_en	You're a beautiful [女人].	young woman		
tatoeba-2367642-2367641-unchanged_zh	unchanged_zh	这都是咱们听说的。	UNCHANGED		
tatoeba-321680-405242-naturalize_en	naturalize_en	I go school by bus.	I go to school by bus.		
tatoeba-46062-804839-fill_en_zh	fill_en_zh	我[rejected]了报价。	拒绝		
tatoeba-4850980-4844583-naturalize_zh	naturalize_zh	我确定它将会是很有趣的。	我确定它将会很有趣。		
tatoeba-256482-6077358-unchanged_zh	unchanged_zh	我得留在家。	UNCHANGED		
tatoeba-1254113-7768336-fill_en_zh	fill_en_zh	猫[don't eat]香蕉。	不吃		
tatoeba-70876-8612474-fill_zh_en	fill_zh_en	I will [找到你] lost ring.	find you your		
tatoeba-1211548-334031-fill_zh_en	fill_zh_en	I [等了一小时] for my friend.	waited an hour		
tatoeba-2537296-5640750-naturalize_en	naturalize_en	The weather report says will have three inches snow.	The weather report says we'll get three inches of snow.		
tatoeba-9628426-9969145-fill_en_zh	fill_en_zh	你知道[supermarket]什么时候关门吗？	商场		
tatoeba-308620-1328123-fill_zh_en	fill_zh_en	She and I are [同班].	in the same class		
tatoeba-3046439-3031987-fill_en_zh	fill_en_zh	我们可以[rest]。	休息		
tatoeba-3702230-8910888-unchanged_zh	unchanged_zh	你知道春卷为什么叫春卷吗？	UNCHANGED		
tatoeba-682445-887849-naturalize_en	naturalize_en	I born in winter.	I was born in the winter.		
tatoeba-280370-8698600-fill_zh_en	fill_zh_en	If you don't know the way, [去问警察吧].	ask a policeman		
tatoeba-237692-408459-naturalize_zh	naturalize_zh	我会做你幸福的。	我会让你幸福的。		
tatoeba-270182-2032129-unchanged_en	unchanged_en	Don't make a fool of me.	UNCHANGED		
tatoeba-278078-464901-fill_en_zh	fill_en_zh	您会[stay long]吗？	待很久		
tatoeba-3164480-8696431-fill_en_zh	fill_en_zh	[keep]秘密很难。	守住		
tatoeba-3378024-3378023-naturalize_zh	naturalize_zh	我没有是结婚。	我没有结婚。		
tatoeba-2033129-9964353-unchanged_zh	unchanged_zh	我想让你穿这件。	UNCHANGED		
tatoeba-16317-469291-fill_en_zh	fill_en_zh	你最好[consult]医生。	请教一下		
tatoeba-953171-1397061-unchanged_en	unchanged_en	Could you please tell me again why you are late?	UNCHANGED		
tatoeba-1054587-8692916-unchanged_zh	unchanged_zh	他不能买车。	UNCHANGED		
tatoeba-430161-430164-unchanged_zh	unchanged_zh	你们有没有纸？	UNCHANGED		
tatoeba-3783130-3783444-fill_en_zh	fill_en_zh	别用你的[dirty hands]碰这个。	脏手		
tatoeba-321870-2442076-fill_zh_en	fill_zh_en	I [想] sleep.	want to		
tatoeba-10283416-2028037-fill_en_zh	fill_en_zh	买不买[up to you]。	由你决定		
tatoeba-3911556-7767719-unchanged_en	unchanged_en	I've always been proud of you.	UNCHANGED		
tatoeba-2067-503091-fill_en_zh	fill_en_zh	我想要[a piece of]糖。	一颗		
tatoeba-1570-334420-unchanged_en	unchanged_en	It's a pity when somebody dies.	UNCHANGED		
tatoeba-54165-512428-fill_zh_en	fill_zh_en	[您知道] your size?	Do you know		
tatoeba-6102194-9991916-fill_zh_en	fill_zh_en	I love [翻译].	translating		
tatoeba-1305895-1305894-naturalize_zh	naturalize_zh	你应该每天睡觉八个小时。	你应该每天睡八个小时觉。		
tatoeba-953335-5780590-fill_en_zh	fill_en_zh	你们两个[been together]多久了？	在一起		
tatoeba-456233-2004699-fill_en_zh	fill_en_zh	这不[practical]。	实用		
tatoeba-492633-782174-fill_en_zh	fill_en_zh	她以为我是[doctor]。	大夫		
tatoeba-25544-7768005-naturalize_zh	naturalize_zh	我不能做它。	我做不到。		
tatoeba-4496805-10537183-unchanged_en	unchanged_en	We didn't have computers when I was growing up.	UNCHANGED		
